City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,Ibipeba,BR,83.46,clear sky,-11.6408,-42.0111,Quitanda santos
8,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
12,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
13,Albina,SR,78.22,overcast clouds,5.5,-54.05,Hudace
22,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
32,Ballina,AU,73.36,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
36,Hithadhoo,MV,83.62,broken clouds,-0.6,73.0833,Scoop Guest House
37,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Bosaso,SO,83.93,overcast clouds,11.2842,49.1816,Red Sea Hotel
46,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
47,Rikitea,PF,79.25,clear sky,-23.1203,-134.9692,People ThankYou
48,Kapaa,US,73.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Samarai,PG,77.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
55,Gonbad-E Qabus,IR,72.55,broken clouds,37.25,55.1672,Samin Building
56,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
58,Chardara,KZ,74.79,overcast clouds,41.2547,67.9692,Жанаргул
59,Biak,ID,78.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
60,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
61,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
62,Castro,BR,71.98,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
63,Tautira,PF,80.44,light rain,-17.7333,-149.15,Pension Oaoa
64,Ligayan,PH,82.09,broken clouds,4.6533,119.4706,
66,Beloha,MG,84.74,light rain,-25.1667,45.05,
69,Souillac,MU,77.38,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Ambovombe,MG,81.34,overcast clouds,-25.1667,46.0833,RELAHARA
74,Atuona,PF,79.43,broken clouds,-9.8,-139.0333,Villa Enata
81,Saurimo,AO,83.32,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
82,Esperance,AU,75.04,scattered clouds,-33.8667,121.9,Hospitality Esperance
86,Mareeba,AU,75.92,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
93,Sorong,ID,81.79,light rain,-0.8833,131.25,Waigo Splash Hotel
94,Bambous Virieux,MU,79.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
95,Bengkulu,ID,77.5,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Basoko,CD,73.65,overcast clouds,1.2391,23.616,Jackyna Hotel
101,Zhob,PK,86.25,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
102,Popondetta,PG,74.59,overcast clouds,-8.7537,148.2534,Timos Transit House
105,Cockburn Town,TC,78.49,few clouds,21.4612,-71.1419,Osprey Beach Hotel
108,High Rock,BS,77.02,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
111,Puerto Plata,DO,82.24,few clouds,19.7934,-70.6884,Be Live Collection Marien
