City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Pacific Grove,US,36.6177,-121.9166,61.56,74,0,4.0,clear sky
1,Cape Town,ZA,-33.9258,18.4232,77.11,36,0,17.27,clear sky
2,Iqaluit,CA,63.7506,-68.5145,20.93,86,100,10.36,light snow
3,Hobart,AU,-42.8794,147.3294,55.06,87,20,6.91,few clouds
4,Ibipeba,BR,-11.6408,-42.0111,83.46,35,5,8.03,clear sky
5,Jieshi,CN,22.8134,115.8257,69.53,73,0,17.16,clear sky
6,Norman Wells,CA,65.282,-126.8329,19.44,68,20,5.75,few clouds
7,Teya,RU,60.3778,92.6267,25.95,96,100,1.9,overcast clouds
8,Port Hedland,AU,-20.3167,118.5667,84.25,79,9,11.5,clear sky
9,Mataura,NZ,-46.1927,168.8643,50.18,73,100,4.63,overcast clouds
10,Twin Falls,US,42.3505,-114.6445,33.69,74,0,0.0,clear sky
11,Ponta Do Sol,PT,32.6667,-17.1,67.01,68,74,1.83,broken clouds
12,Vaini,TO,-21.2,-175.2,73.56,100,20,2.3,few clouds
13,Albina,SR,5.5,-54.05,78.22,92,100,5.23,overcast clouds
14,Lagoa,PT,39.05,-27.9833,61.47,82,99,21.65,overcast clouds
15,Prince Rupert,CA,54.3161,-130.3201,42.49,81,100,16.11,overcast clouds
16,Ilulissat,GL,69.2167,-51.1,17.62,79,75,6.91,light shower snow
17,Tiksi,RU,71.6872,128.8694,-5.58,100,100,1.5,overcast clouds
18,East London,ZA,-33.0153,27.9116,58.14,94,40,5.75,light rain
19,Punta Arenas,CL,-53.15,-70.9167,39.31,93,40,4.61,scattered clouds
20,Gallup,US,35.5281,-108.7426,21.96,26,0,3.96,clear sky
21,Ekhabi,RU,53.5102,142.9671,15.73,95,53,5.61,broken clouds
22,Vila Velha,BR,-20.3297,-40.2925,84.15,72,75,9.22,broken clouds
23,Labytnangi,RU,66.6572,66.4183,12.49,96,100,5.44,overcast clouds
24,Marystown,CA,47.1666,-55.1483,37.53,69,85,8.81,overcast clouds
25,Albany,US,42.6001,-73.9662,46.4,93,100,1.99,overcast clouds
26,Fukue,JP,32.6881,128.8419,60.85,58,0,1.72,clear sky
27,Kruisfontein,ZA,-34.0033,24.7314,62.89,67,100,12.21,overcast clouds
28,Kaitangata,NZ,-46.2817,169.8464,50.41,70,60,9.93,broken clouds
29,Okhotsk,RU,59.3833,143.3,21.51,89,100,5.66,overcast clouds
30,Cidreira,BR,-30.1811,-50.2056,67.82,81,100,13.71,overcast clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,65.52,73,30,11.01,scattered clouds
32,Ballina,AU,-28.8667,153.5667,73.36,81,40,10.36,scattered clouds
33,Cherskiy,RU,68.75,161.3,-24.63,97,5,4.45,clear sky
34,Union City,US,37.5958,-122.0192,63.05,64,0,1.99,clear sky
35,Sztum,PL,53.9208,19.0307,53.33,36,74,18.52,broken clouds
36,Hithadhoo,MV,-0.6,73.0833,83.62,64,57,7.94,broken clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,20,11.5,few clouds
38,Fortuna,US,40.5982,-124.1573,48.65,93,100,6.91,overcast clouds
39,New Norfolk,AU,-42.7826,147.0587,54.72,66,0,2.95,clear sky
40,Bosaso,SO,11.2842,49.1816,83.93,62,98,8.21,overcast clouds
41,Yellowknife,CA,62.456,-114.3525,36.41,74,100,6.91,overcast clouds
42,Naples,IT,40.8333,14.25,66.58,78,40,10.36,scattered clouds
43,Ushuaia,AR,-54.8,-68.3,35.22,93,75,4.61,broken clouds
44,Longyearbyen,SJ,78.2186,15.6401,13.84,67,0,11.5,clear sky
45,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,4.61,fog
46,Carnarvon,AU,-24.8667,113.6333,75.27,64,40,11.5,scattered clouds
47,Rikitea,PF,-23.1203,-134.9692,79.25,70,0,14.09,clear sky
48,Kapaa,US,22.0752,-159.319,73.11,83,40,14.97,scattered clouds
49,Shetpe,KZ,44.1667,52.1167,69.15,34,73,17.96,broken clouds
50,Biltine,TD,14.5333,20.9167,105.58,5,6,4.92,clear sky
51,Samarai,PG,-10.6167,150.6667,77.61,92,100,8.12,overcast clouds
52,Qaanaaq,GL,77.484,-69.3632,-4.81,70,15,7.4,few clouds
53,Jamestown,US,42.097,-79.2353,41.02,79,100,4.61,mist
54,Amazar,RU,53.858,120.875,24.66,90,64,4.05,broken clouds
55,Gonbad-E Qabus,IR,37.25,55.1672,72.55,68,75,4.61,broken clouds
56,Rio Grande,BR,-32.035,-52.0986,75.31,83,100,11.25,overcast clouds
57,Qasigiannguit,GL,68.8193,-51.1922,17.85,79,100,1.48,overcast clouds
58,Chardara,KZ,41.2547,67.9692,74.79,46,100,7.4,overcast clouds
59,Biak,ID,-0.9131,122.8766,78.3,82,100,1.28,overcast clouds
60,George Town,MY,5.4112,100.3354,84.13,77,20,3.44,few clouds
61,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,19.57,scattered clouds
62,Castro,BR,-24.7911,-50.0119,71.98,78,96,6.38,overcast clouds
63,Tautira,PF,-17.7333,-149.15,80.44,78,90,17.4,light rain
64,Ligayan,PH,4.6533,119.4706,82.09,76,84,3.62,broken clouds
65,Arlit,NE,18.7369,7.3853,107.82,3,100,4.56,overcast clouds
66,Beloha,MG,-25.1667,45.05,84.74,59,49,11.14,light rain
67,Verkhoyansk,RU,67.5447,133.385,3.45,99,88,2.13,overcast clouds
68,Mount Gambier,AU,-37.8333,140.7667,58.91,82,63,5.75,broken clouds
69,Souillac,MU,-20.5167,57.5167,77.38,94,75,14.97,light intensity shower rain
70,Bluff,NZ,-46.6,168.3333,54.01,66,97,16.67,overcast clouds
71,Ambovombe,MG,-25.1667,46.0833,81.34,69,100,9.98,overcast clouds
72,Acapulco,MX,16.8634,-99.8901,67.82,83,75,0.0,broken clouds
73,Zadar,HR,44.1197,15.2422,65.01,55,20,24.16,few clouds
74,Atuona,PF,-9.8,-139.0333,79.43,74,84,17.16,broken clouds
75,Melk,AT,48.2274,15.3319,59.14,63,100,2.51,overcast clouds
76,Port-Cartier,CA,50.0334,-66.8654,34.75,94,100,18.3,overcast clouds
77,Busselton,AU,-33.65,115.3333,60.51,83,99,11.97,overcast clouds
78,Lavrentiya,RU,65.5833,-171.0,-15.12,96,100,4.45,overcast clouds
79,Kodiak,US,57.79,-152.4072,26.11,59,0,8.05,clear sky
80,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,94,100,17.0,overcast clouds
81,Saurimo,AO,-9.6608,20.3916,83.32,53,97,1.81,light rain
